"Western countries";"Age total";"2026Q1";"Brønshøj-Husum - Husum";1151;646;505
"Western countries";"Age total";"2026Q1";"Brønshøj-Husum - Husum Nord";957;551;406
"Western countries";"Age total";"2026Q1";"Brønshøj-Husum - Tingbjerg";605;325;280
"Western countries";"Age total";"2026Q1";"Brønshøj-Husum - Brønshøj";667;332;335
"Western countries";"Age total";"2026Q1";"Brønshøj-Husum - Bellahøj";197;106;91
"Western countries";"Age total";"2026Q1";"Bispebjerg - Emdrup";433;175;258
"Western countries";"Age total";"2026Q1";"Bispebjerg- Ryparken-Lundehus";637;313;324
"Western countries";"Age total";"2026Q1";"Bispebjerg - Bispebjerg";380;204;176
"Western countries";"Age total";"2026Q1";"Bispebjerg - Utterslev";501;259;242
"Western countries";"Age total";"2026Q1";"Bispebjerg - Nordvest";4630;2351;2279
"Western countries";"Age total";"2026Q1";"Amager Øst - Amagerbro Øst";2595;1283;1312
"Western countries";"Age total";"2026Q1";"Amager Øst - Sundbyøster";1186;584;602
"Western countries";"Age total";"2026Q1";"Amager Øst - Villakvartererne";1513;770;743
"Western countries";"Age total";"2026Q1";"Amager Øst - Nordøstamager";2283;1105;1178
"Western countries";"Age total";"2026Q1";"Amager Vest - Amagerbro Vest";612;288;324
"Western countries";"Age total";"2026Q1";"Amager Vest - Bryggen Syd";771;357;414
"Western countries";"Age total";"2026Q1";"Amager Vest - Faste Batteri";1294;631;663
"Western countries";"Age total";"2026Q1";"Amager Vest - Gamle Bryggen";679;335;344
"Western countries";"Age total";"2026Q1";"Amager Vest - Grønjordssøen (Ørestad Nord and Vejlandskvarter)";820;378;442
"Western countries";"Age total";"2026Q1";"Amager Vest - Kolonihavekvarteret";791;419;372
"Western countries";"Age total";"2026Q1";"Amager Vest - Sundbyvester";1259;703;556
"Western countries";"Age total";"2026Q1";"Amager Vest - Sundholmsvejs kvarteret";1526;738;788
"Western countries";"Age total";"2026Q1";"Amager Vest - Urbanplanen";259;119;140
"Western countries";"Age total";"2026Q1";"Amager Vest - Ørestad City";3347;1737;1610
"Western countries";"Age total";"2026Q1";"Amager Vest - Ørestad Syd";3797;2037;1760
"Western countries";"Age total";"2026Q1";"Neighborhood - Unlocated";1008;619;389
