"Non-western countries";"Age total";"2026Q1";"Vanløse - Sallingvej Kvarter";449;202;247
"Non-western countries";"Age total";"2026Q1";"Vanløse - Grøndals Park Kvarter";200;100;100
"Non-western countries";"Age total";"2026Q1";"Brønshøj-Husum - Husum";1822;930;892
"Non-western countries";"Age total";"2026Q1";"Brønshøj-Husum - Husum Nord";2246;1082;1164
"Non-western countries";"Age total";"2026Q1";"Brønshøj-Husum - Tingbjerg";1713;836;877
"Non-western countries";"Age total";"2026Q1";"Brønshøj-Husum - Brønshøj";459;221;238
"Non-western countries";"Age total";"2026Q1";"Brønshøj-Husum - Bellahøj";820;366;454
"Non-western countries";"Age total";"2026Q1";"Bispebjerg - Emdrup";329;173;156
"Non-western countries";"Age total";"2026Q1";"Bispebjerg- Ryparken-Lundehus";925;424;501
"Non-western countries";"Age total";"2026Q1";"Bispebjerg - Bispebjerg";616;316;300
"Non-western countries";"Age total";"2026Q1";"Bispebjerg - Utterslev";799;388;411
"Non-western countries";"Age total";"2026Q1";"Bispebjerg - Nordvest";3195;1549;1646
"Non-western countries";"Age total";"2026Q1";"Amager Øst - Amagerbro Øst";1507;677;830
"Non-western countries";"Age total";"2026Q1";"Amager Øst - Sundbyøster";605;250;355
"Non-western countries";"Age total";"2026Q1";"Amager Øst - Villakvartererne";1132;573;559
"Non-western countries";"Age total";"2026Q1";"Amager Øst - Nordøstamager";1304;589;715
"Non-western countries";"Age total";"2026Q1";"Amager Vest - Amagerbro Vest";153;67;86
"Non-western countries";"Age total";"2026Q1";"Amager Vest - Bryggen Syd";229;96;133
"Non-western countries";"Age total";"2026Q1";"Amager Vest - Faste Batteri";336;152;184
"Non-western countries";"Age total";"2026Q1";"Amager Vest - Gamle Bryggen";224;96;128
"Non-western countries";"Age total";"2026Q1";"Amager Vest - Grønjordssøen (Ørestad Nord and Vejlandskvarter)";294;121;173
"Non-western countries";"Age total";"2026Q1";"Amager Vest - Kolonihavekvarteret";563;248;315
"Non-western countries";"Age total";"2026Q1";"Amager Vest - Sundbyvester";808;389;419
"Non-western countries";"Age total";"2026Q1";"Amager Vest - Sundholmsvejs kvarteret";1198;576;622
"Non-western countries";"Age total";"2026Q1";"Amager Vest - Urbanplanen";617;290;327
"Non-western countries";"Age total";"2026Q1";"Amager Vest - Ørestad City";2346;1066;1280
"Non-western countries";"Age total";"2026Q1";"Amager Vest - Ørestad Syd";2116;960;1156
"Non-western countries";"Age total";"2026Q1";"Neighborhood - Unlocated";477;342;135
