"Private rental";"2026";"Amager Øst - Nordøstamager";294;607;950;705
"Private rental";"2026";"Amager Vest - Amagerbro Vest";305;292;254;201
"Private rental";"2026";"Amager Vest - Bryggen Syd";37;231;344;204
"Private rental";"2026";"Amager Vest - Faste Batteri";400;423;275;303
"Private rental";"2026";"Amager Vest - Gamle Bryggen";70;116;217;39
"Private rental";"2026";"Amager Vest - Grønjordssøen (Ørestad Nord and Vejlandskvarter)";764;124;96;44
"Private rental";"2026";"Amager Vest - Kolonihavekvarteret";867;135;47;46
"Private rental";"2026";"Amager Vest - Sundbyvester";270;148;282;252
"Private rental";"2026";"Amager Vest - Sundholmsvejs kvarteret";575;583;390;288
"Private rental";"2026";"Amager Vest - Urbanplanen";0;96;41;1
"Private rental";"2026";"Amager Vest - Ørestad City";25;1039;1193;766
"Private rental";"2026";"Amager Vest - Ørestad Syd";585;1117;1242;1621
