"Ownership total";"2026";"Bispebjerg - Utterslev";241;1256;1165;406
"Ownership total";"2026";"Bispebjerg - Nordvest";2896;8576;4874;2166
"Ownership total";"2026";"Amager Øst - Amagerbro Øst";1336;5624;4396;2136
"Ownership total";"2026";"Amager Øst - Sundbyøster";711;3761;2216;1470
"Ownership total";"2026";"Amager Øst - Villakvartererne";1179;2605;1652;2289
"Ownership total";"2026";"Amager Øst - Nordøstamager";491;1043;1595;1556
"Ownership total";"2026";"Amager Vest - Amagerbro Vest";347;1206;1129;1141
"Ownership total";"2026";"Amager Vest - Bryggen Syd";64;538;980;1010
"Ownership total";"2026";"Amager Vest - Faste Batteri";567;796;863;718
"Ownership total";"2026";"Amager Vest - Gamle Bryggen";255;1707;1233;823
"Ownership total";"2026";"Amager Vest - Grønjordssøen (Ørestad Nord and Vejlandskvarter)";1225;269;439;353
"Ownership total";"2026";"Amager Vest - Kolonihavekvarteret";1151;469;482;943
"Ownership total";"2026";"Amager Vest - Sundbyvester";846;1081;1754;2531
"Ownership total";"2026";"Amager Vest - Sundholmsvejs kvarteret";1338;2133;2144;1048
"Ownership total";"2026";"Amager Vest - Urbanplanen";523;753;862;502
"Ownership total";"2026";"Amager Vest - Ørestad City";475;1445;2118;1307
"Ownership total";"2026";"Amager Vest - Ørestad Syd";877;1525;1812;2461
